locality_id,year,pland_08,pland_09,pland_13,pland_02,pland_04,pland_00,pland_11,pland_05,pland_10,pland_01,pland_12,pland_14,pland_15,pland_03,pland_06
L1040248,2012,0.9473684210526315,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0
L1040248,2013,0.9473684210526315,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0
L1040248,2014,0.9473684210526315,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0
L1040248,2016,0.8947368421052632,0.05263157894736842,0,0,0,0,0,0,0.05263157894736842,0,0,0,0,0,0
L1040248,2017,0.8947368421052632,0.05263157894736842,0,0,0,0,0,0,0.05263157894736842,0,0,0,0,0,0
L1040248,2019,0.8947368421052632,0.05263157894736842,0,0,0,0,0,0,0.05263157894736842,0,0,0,0,0,0
L1040559,2018,0.09523809523809523,0,0,0,0,0.6190476190476191,0.23809523809523808,0.047619047619047616,0,0,0,0,0,0,0
L1041517,2018,0.8,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
L1041520,2018,0.6,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
L1041557,2018,0.47368421052631576,0,0,0,0,0,0,0,0.3684210526315789,0,0.15789473684210525,0,0,0,0
L1041640,2017,0.5238095238095238,0.047619047619047616,0,0,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.09523809523809523,0,0,0,0,0,0,0
L1041789,2012,0.15789473684210525,0.15789473684210525,0,0,0.6842105263157895,0,0,0,0,0,0,0,0,0,0
L1041789,2017,0.21052631578947367,0.10526315789473684,0,0,0.6842105263157895,0,0,0,0,0,0,0,0,0,0
L1042268,2014,0.8,0,0,0.15,0,0,0,0,0,0.05,0,0,0,0,0
L1042268,2015,0.8,0,0,0.15,0,0,0,0,0,0.05,0,0,0,0,0
L1042268,2016,0.8,0,0,0.15,0,0,0,0,0,0.05,0,0,0,0,0
L1042280,2012,0.3157894736842105,0,0,0,0.15789473684210525,0.3157894736842105,0.10526315789473684,0.10526315789473684,0,0,0,0,0,0,0
L1042280,2016,0.21052631578947367,0,0,0,0.2631578947368421,0.3157894736842105,0.10526315789473684,0.10526315789473684,0,0,0,0,0,0,0
L1042295,2019,0.15,0.5,0,0,0,0.1,0,0,0.2,0,0,0.05,0,0,0
L1042549,2011,0,0.3157894736842105,0.6842105263157895,0,0,0,0,0,0,0,0,0,0,0,0
L1042549,2016,0.05263157894736842,0.15789473684210525,0.6842105263157895,0,0,0,0,0,0.10526315789473684,0,0,0,0,0,0
L1042898,2018,0.7619047619047619,0,0,0,0.14285714285714285,0.09523809523809523,0,0,0,0,0,0,0,0,0
